id,enroll_hmsc,grade_year,school_type,same_school,enjoy_school,grades,ap_enroll,behavior_problem,work_problem,behavior_good,work_good,repeat_grades,out_suspension,in_suspension,expelled,expectations,hmsc_grade_year,hmsc_who_teaches,hmsc_tutor,hmsc_coop,days_hmsc,hrs_hmsc,teach_style,Library,Homeschool Catalog,Educational Publisher,Homeschooling Organization,Church,Public School,Private School,Bookstore,Websites,Other Source,Virtual School/Curriculum,hmsc_course,internet_hmsc,Local Public School,State,Charter School,Another Public School,Private School,College,Someplace Else,school_event,volunteer,school_mtng,pta_mtng,parent_teacher,fundraiser,school_cmte,counselor,hw_time,hw_hours,child_hw,hw_check,hw_help,time_mgmt,meal_together,child_health,year_born,age,country_born,sex,ttl_income,race,region,parent_educ,family_type
20161000130,Enrolled in school,2nd,Public School,1,2,3,-1,0,4,2,2,1,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,3-4 days a week,4,It's too much,4,3.0,1,2,4,2007,8,1,Male,3,Hispanic,South,2,Two parents and sibling(s)
20161000135,Enrolled in school,8th,Public School,1,2,2,-1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,Yes,No,No,No,No,No,1-2 days a week,3,Amount is about right,3,2.0,0,5,1,2002,13,1,Male,7,Black,South,3,One parent and sibling(s)
20161000143,Enrolled in school,11th,Public School,1,1,1,Yes,0,0,4,4,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,Yes,No,No,5+ days a week,10,Amount is about right,4,5.0,1,3,1,1998,17,1,Female,8,White,Midwest,3,Other
20161000151,Enrolled in school,2nd,Public School,1,1,2,-1,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,Yes,Yes,No,No,3-4 days a week,4,Amount is about right,4,3.0,1,3,1,2007,8,1,Male,3,White,West,2,"One parent, no sibling"
20161000170,Enrolled in school,9th,Public School,1,2,2,No,0,0,0,0,2,1,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,No,No,No,Yes,Less than once a week,0,It's too much,2,1.0,1,0,2,2000,15,1,Male,5,White,Midwest,2,Other
20161000179,Enrolled in school,8th,Public School,1,1,2,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,No,No,No,No,3-4 days a week,1,It's too much,3,1.0,0,4,1,2002,13,1,Female,2,Hispanic,West,1,One parent and sibling(s)
20161000188,Homeschooled,-1,Homeschooled,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12th,1,1,2,5,20,Strictly use formal curriculum,1,1,2,2,2,1,1,1,1,2,2,Online & In-Person,1,2,2,1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1,5,1,1998,17,1,Female,3,Hispanic,West,2,"Two parents, no sibling"
20161000190,Enrolled in school,Kindergarten,Private School,1,1,1,-1,0,0,2,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,No,Yes,Yes,No,No,5+ days a week,5,Amount is about right,4,4.0,0,7,1,2010,5,1,Female,10,Hispanic,Northeast,4,Two parents and sibling(s)
20161000230,Enrolled in school,9th,Public School,1,4,1,No,0,0,0,0,1,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,No,Yes,No,Yes,1-2 days a week,4,Amount is about right,4,2.0,1,3,1,2000,15,1,Female,8,White,Midwest,4,Two parents and sibling(s)
20161000250,Enrolled in school,8th,Public School,1,1,1,-1,0,0,4,4,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,No,No,No,5+ days a week,8,Amount is about right,4,1.0,1,2,1,2002,13,1,Female,5,Hispanic,West,3,"One parent, no sibling"
20161000255,Enrolled in school,1st,Public School,1,2,2,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3-4 days a week,6,Amount is about right,4,4.0,1,7,1,2009,6,1,Female,8,White,West,3,"One parent, no sibling"
20161000272,Enrolled in school,5th,Public School,1,1,2,-1,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,Yes,Yes,No,No,3-4 days a week,3,Amount is about right,4,3.0,1,4,1,2005,10,1,Male,9,White,Midwest,2,One parent and sibling(s)
20161000293,Enrolled in school,3rd,Public School,1,2,2,-1,5,2,1,0,2,2,1,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,No,No,No,No,3-4 days a week,1,It's too much,4,2.0,1,7,3,2007,8,1,Male,9,White,Northeast,5,Two parents and sibling(s)
20161000317,Enrolled in school,5th,Private School,1,1,1,-1,0,2,0,1,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3-4 days a week,5,Amount is about right,4,2.0,1,3,1,2005,10,1,Female,10,Hispanic,South,3,One parent and sibling(s)
20161000354,Enrolled in school,1st,Public School,1,2,1,-1,0,0,10,10,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1-2 days a week,1,Amount is about right,4,2.0,1,7,1,2009,6,1,Female,8,White,Midwest,5,"Two parents, no sibling"
20161000375,Enrolled in school,7th,Public School,1,2,2,-1,3,0,10,5,2,1,1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,Yes,No,No,3-4 days a week,8,It's too much,3,2.0,0,3,1,2002,13,1,Female,2,White,South,1,One parent and sibling(s)
20161000414,Enrolled in school,3rd,Public School,1,1,1,-1,0,0,1,1,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,No,Yes,Yes,No,No,5+ days a week,5,Amount is about right,4,3.0,1,5,1,2006,9,1,Female,9,White,Northeast,4,Two parents and sibling(s)
20161000424,Enrolled in school,Kindergarten,Public School,1,2,2,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,Yes,No,No,5+ days a week,3,Amount is about right,4,4.0,1,6,2,2009,6,1,Male,1,Hispanic,West,1,"One parent, no sibling"
20161000425,Enrolled in school,8th,Public School,1,2,3,-1,3,0,0,0,2,2,1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,Yes,No,No,Yes,3-4 days a week,18,It's too much,3,3.0,1,2,2,2002,13,1,Female,7,White,Midwest,3,"Two parents, no sibling"
20161000447,Enrolled in school,7th,Public School,1,2,1,-1,1,0,3,3,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,No,Yes,Yes,No,No,5+ days a week,5,Amount is about right,4,2.0,1,5,1,2002,13,1,Female,10,White,South,5,"Two parents, no sibling"
20161000465,Enrolled in school,8th,Public School,1,2,1,-1,0,0,0,1,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,Yes,No,Yes,No,No,5+ days a week,7,It's too much,3,2.0,1,7,2,2001,14,1,Female,9,White,South,5,Two parents and sibling(s)
20161000468,Enrolled in school,9th,Public School,1,1,1,No,0,0,4,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,No,No,No,No,1-2 days a week,8,Amount is about right,4,2.0,1,5,1,2000,15,3,Male,1,Black,South,1,One parent and sibling(s)
20161000508,Enrolled in school,Kindergarten,Public School,1,2,5,-1,1,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,Yes,No,No,No,1-2 days a week,1,Amount is about right,4,4.0,0,5,2,2010,5,1,Male,3,White,Midwest,3,"One parent, no sibling"
20161000514,Enrolled in school,5th,Public School,1,2,3,-1,0,2,0,0,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,Yes,No,No,Yes,3-4 days a week,3,It's too much,4,3.0,1,7,2,2004,11,1,Male,7,White,South,3,Other
20161000516,Enrolled in school,3rd,Public School,1,2,5,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,Yes,Yes,No,No,3-4 days a week,5,Amount is about right,4,3.0,1,7,2,2007,8,1,Male,10,White,West,5,"Two parents, no sibling"
20161000532,Enrolled in school,Kindergarten,Public School,1,1,1,-1,1,0,1,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,No,No,Yes,No,No,No,1-2 days a week,1,Amount is about right,4,2.0,0,5,2,2009,6,1,Male,8,White,South,4,Two parents and sibling(s)
20161000535,Enrolled in school,4th,Public School,1,1,2,-1,0,0,0,0,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,Yes,No,Yes,Yes,No,No,5+ days a week,5,Amount is about right,4,2.0,0,7,4,2006,9,1,Male,3,Black,Northeast,3,One parent and sibling(s)
20161000562,Enrolled in school,10th,Public School,1,2,1,No,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,Yes,No,No,No,5+ days a week,20,It's too much,4,2.0,1,3,1,2000,15,1,Male,7,Asian,West,1,One parent and sibling(s)
20161000598,Enrolled in school,Kindergarten,Private School,1,1,3,-1,0,0,0,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,No,No,No,Yes,3-4 days a week,2,Amount is about right,4,3.0,1,7,1,2010,5,1,Female,1,Other/Mixed,Northeast,2,One parent and sibling(s)
20161000642,Enrolled in school,2nd,Private School,1,1,1,-1,0,0,1,1,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,Yes,No,No,No,3-4 days a week,4,Amount is about right,3,2.0,0,3,1,2008,7,1,Female,8,Hispanic,Midwest,5,Two parents and sibling(s)
20161000645,Enrolled in school,4th,Public School,2,2,2,-1,0,0,2,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,Yes,No,No,Yes,3-4 days a week,4,Amount is about right,4,2.0,0,5,1,2005,10,1,Male,3,White,West,2,One parent and sibling(s)
20161000648,Enrolled in school,12th,Public School,1,1,3,No,0,5,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,Yes,No,No,No,No,Yes,5+ days a week,21,Amount is about right,2,5.0,1,7,1,1999,16,1,Female,9,Asian,West,4,"Two parents, no sibling"
20161000673,Enrolled in school,9th,Private School,1,2,1,No,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,No,Yes,No,No,Yes,3-4 days a week,2,Amount is about right,1,5.0,1,6,1,2001,14,1,Male,10,Asian,South,5,Two parents and sibling(s)
20161000703,Enrolled in school,7th,Public School,1,2,4,-1,5,1,0,0,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,Yes,No,No,No,No,No,1-2 days a week,1,It's too much,2,2.0,0,4,2,2003,12,1,Male,4,Hispanic,West,3,"One parent, no sibling"
20161000710,Enrolled in school,7th,Public School,1,2,1,-1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,No,No,No,1-2 days a week,3,It's too much,2,1.0,0,0,2,2003,12,1,Female,3,White,Midwest,3,One parent and sibling(s)
20161000718,Enrolled in school,7th,Public School,1,2,3,-1,0,1,0,0,2,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,No,No,No,Yes,5+ days a week,20,Amount is about right,4,2.0,1,4,1,2002,13,1,Female,4,Hispanic,Midwest,3,"One parent, no sibling"
20161000729,Enrolled in school,7th,Public School,1,3,2,-1,0,1,2,2,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,Yes,No,No,3-4 days a week,7,Amount is about right,3,2.0,0,7,3,2003,12,1,Male,2,Black,South,3,"Two parents, no sibling"
20161000737,Enrolled in school,2nd,Public School,1,1,1,-1,0,0,1,2,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,No,No,No,Yes,3-4 days a week,4,It's too much,4,3.0,1,1,2,1998,17,1,Female,2,Black,Midwest,1,Two parents and sibling(s)
20161000738,Enrolled in school,3rd,Public School,1,2,5,-1,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,Yes,Yes,No,Yes,Yes,No,No,1-2 days a week,2,Amount is about right,4,4.0,1,7,1,2007,8,1,Male,9,White,Midwest,3,Two parents and sibling(s)
20161000741,Enrolled in school,3rd,Public School,1,2,5,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,Yes,No,Yes,No,No,No,5+ days a week,5,It's too much,4,4.0,0,5,2,2007,8,1,Female,2,Hispanic,Northeast,1,Two parents and sibling(s)
20161000750,Enrolled in school,5th,Public School,1,2,3,-1,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,No,No,No,No,Less than once a week,2,It's too little,2,5.0,0,2,2,2004,11,3,Male,2,Black,Northeast,1,"One parent, no sibling"
20161000768,Enrolled in school,3rd,Public School,1,3,4,-1,0,10,0,0,1,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5+ days a week,10,It's too much,4,4.0,1,7,1,2006,9,1,Female,3,White,South,3,Two parents and sibling(s)
20161000776,Enrolled in school,4th,Private School,1,1,1,-1,0,0,1,1,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1-2 days a week,2,Amount is about right,3,2.0,1,2,1,2005,10,1,Female,8,White,Midwest,3,"Two parents, no sibling"
20161000782,Enrolled in school,1st,Private School,1,2,1,-1,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,No,No,No,No,Less than once a week,2,Amount is about right,4,1.0,0,5,2,2009,6,1,Male,6,White,Northeast,1,Two parents and sibling(s)
20161000798,Enrolled in school,7th,Public School,1,2,3,-1,0,3,1,1,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,No,Yes,No,Yes,3-4 days a week,2,Amount is about right,3,1.0,1,3,1,2003,12,1,Female,8,Hispanic,South,3,"One parent, no sibling"
20161000814,Enrolled in school,7th,Public School,1,2,1,-1,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,Yes,No,No,No,5+ days a week,5,Amount is about right,4,5.0,1,7,2,2003,12,1,Male,1,Hispanic,Midwest,1,One parent and sibling(s)
20161000818,Enrolled in school,12th,Public School,1,3,3,Yes,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,No,Yes,No,No,Less than once a week,1,It's too much,3,1.0,1,5,3,1998,17,1,Male,5,White,South,3,Two parents and sibling(s)
20161000830,Enrolled in school,8th,Public School,1,3,1,-1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,No,Yes,No,Yes,5+ days a week,5,Amount is about right,4,1.0,1,7,1,2002,13,1,Male,5,White,Northeast,3,"Two parents, no sibling"
20161000849,Enrolled in school,5th,Public School,1,1,1,-1,0,0,0,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,Yes,No,No,5+ days a week,10,Amount is about right,4,3.0,1,6,2,2005,10,1,Female,10,Asian,West,5,Two parents and sibling(s)
20161000851,Enrolled in school,10th,Public School,1,3,4,No,0,0,0,0,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,No,No,No,No,Less than once a week,2,Amount is about right,2,5.0,1,5,2,2000,15,1,Male,8,White,South,1,One parent and sibling(s)
20161000867,Enrolled in school,10th,Public School,1,1,2,No,0,0,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,No,No,Yes,No,No,Yes,3-4 days a week,2,Amount is about right,4,3.0,1,7,4,1999,16,1,Female,1,Black,South,2,"One parent, no sibling"
20161000892,Enrolled in school,6th,Public School,1,2,1,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,No,Yes,Yes,No,Yes,3-4 days a week,4,Amount is about right,4,3.0,1,5,3,2004,11,1,Male,8,Hispanic,South,3,Two parents and sibling(s)
