country_code,country,indicator_code,indicator,year,data_value,in_oecd
BEL,Belgium,CWB1C,Children (0-17) living in 'other' types of household (%),2015,1.2,oecd
BEL,Belgium,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,62.6,oecd
BEL,Belgium,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,13.2,oecd
BEL,Belgium,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,30641.0,oecd
BEL,Belgium,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,95.1,oecd
BEL,Belgium,CWB9,Children (0-17) in overcrowded households (%),2015,3.7,oecd
BEL,Belgium,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,22.3,oecd
BEL,Belgium,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,7.2,oecd
BEL,Belgium,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,45.1,oecd
BEL,Belgium,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,98.6,oecd
BEL,Belgium,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,91.2,oecd
BEL,Belgium,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,84.7,oecd
BEL,Belgium,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,72.1,oecd
BEL,Belgium,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,42.5,oecd
BEL,Belgium,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,32.9,oecd
BEL,Belgium,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,62.0,oecd
BEL,Belgium,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,12.9,oecd
BEL,Belgium,CWB35A,Reading performance at age 15 (PISA),2015,498.5,oecd
BEL,Belgium,CWB35B,Mathematics performance at age 15 (PISA),2015,507.0,oecd
BEL,Belgium,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,59.5,oecd
BEL,Belgium,CWB44A,Adolescents (15-year-olds) reporting high life satisfaction (%),2015,32.8,oecd
BEL,Belgium,CWB44B,Adolescents (15-year-olds) reporting low life satisfaction (%),2015,8.3,oecd
BEL,Belgium,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,32.3,oecd
BEL,Belgium,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,19.3,oecd
CAN,Canada,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,32427.6,oecd
CAN,Canada,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,96.5,oecd
CAN,Canada,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,24.9,oecd
CAN,Canada,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,4.8,oecd
CAN,Canada,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,58.7,oecd
CAN,Canada,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,91.1,oecd
CAN,Canada,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,80.3,oecd
CAN,Canada,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,88.7,oecd
CAN,Canada,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,63.9,oecd
CAN,Canada,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,63.5,oecd
CAN,Canada,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,71.6,oecd
CAN,Canada,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,22.5,oecd
CAN,Canada,CWB35A,Reading performance at age 15 (PISA),2015,526.7,oecd
CAN,Canada,CWB35B,Mathematics performance at age 15 (PISA),2015,515.6,oecd
CAN,Canada,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,52.0,oecd
CAN,Canada,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,0.0,oecd
CZE,Czech Republic,CWB1A,Children (0-17) living with two parents (%),2015,84.9,oecd
CZE,Czech Republic,CWB1B,Children (0-17) living with a single parent (%),2015,14.6,oecd
CZE,Czech Republic,CWB1C,Children (0-17) living in 'other' types of household (%),2015,0.6,oecd
CZE,Czech Republic,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,55.1,oecd
CZE,Czech Republic,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,9.2,oecd
CZE,Czech Republic,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,18401.7,oecd
CZE,Czech Republic,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,96.4,oecd
CZE,Czech Republic,CWB9,Children (0-17) in overcrowded households (%),2015,29.4,oecd
CZE,Czech Republic,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,31.3,oecd
CZE,Czech Republic,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,3.3,oecd
CZE,Czech Republic,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,56.5,oecd
CZE,Czech Republic,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,84.6,oecd
CZE,Czech Republic,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,87.9,oecd
CZE,Czech Republic,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,68.6,oecd
CZE,Czech Republic,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,81.1,oecd
CZE,Czech Republic,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,40.3,oecd
CZE,Czech Republic,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,55.6,oecd
CZE,Czech Republic,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,70.9,oecd
CZE,Czech Republic,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,20.2,oecd
CZE,Czech Republic,CWB35A,Reading performance at age 15 (PISA),2015,487.3,oecd
CZE,Czech Republic,CWB35B,Mathematics performance at age 15 (PISA),2015,492.3,oecd
CZE,Czech Republic,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,60.8,oecd
CZE,Czech Republic,CWB44A,Adolescents (15-year-olds) reporting high life satisfaction (%),2015,30.6,oecd
CZE,Czech Republic,CWB44B,Adolescents (15-year-olds) reporting low life satisfaction (%),2015,13.8,oecd
CZE,Czech Republic,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,110.0,oecd
CZE,Czech Republic,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,0.0,oecd
DNK,Denmark,CWB1A,Children (0-17) living with two parents (%),2015,72.7,oecd
DNK,Denmark,CWB1B,Children (0-17) living with a single parent (%),2015,25.8,oecd
DNK,Denmark,CWB1C,Children (0-17) living in 'other' types of household (%),2015,1.5,oecd
DNK,Denmark,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,78.6,oecd
DNK,Denmark,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,8.8,oecd
DNK,Denmark,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,31990.2,oecd
DNK,Denmark,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,95.8,oecd
DNK,Denmark,CWB9,Children (0-17) in overcrowded households (%),2015,11.0,oecd
DNK,Denmark,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,17.2,oecd
DNK,Denmark,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,4.0,oecd
DNK,Denmark,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,62.7,oecd
DNK,Denmark,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,98.0,oecd
DNK,Denmark,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,93.4,oecd
DNK,Denmark,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,81.1,oecd
DNK,Denmark,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,76.9,oecd
DNK,Denmark,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,64.5,oecd
DNK,Denmark,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,37.2,oecd
DNK,Denmark,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,70.3,oecd
DNK,Denmark,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,12.4,oecd
DNK,Denmark,CWB35A,Reading performance at age 15 (PISA),2015,499.8,oecd
DNK,Denmark,CWB35B,Mathematics performance at age 15 (PISA),2015,511.1,oecd
DNK,Denmark,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,69.2,oecd
DNK,Denmark,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,50.0,oecd
DNK,Denmark,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,2.0,oecd
FIN,Finland,CWB1A,Children (0-17) living with two parents (%),2015,86.7,oecd
FIN,Finland,CWB1B,Children (0-17) living with a single parent (%),2015,13.1,oecd
FIN,Finland,CWB1C,Children (0-17) living in 'other' types of household (%),2015,0.3,oecd
FIN,Finland,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,60.4,oecd
FIN,Finland,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,5.6,oecd
FIN,Finland,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,28820.9,oecd
FIN,Finland,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,96.6,oecd
FIN,Finland,CWB9,Children (0-17) in overcrowded households (%),2015,7.4,oecd
FIN,Finland,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,19.3,oecd
FIN,Finland,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,3.8,oecd
FIN,Finland,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,54.4,oecd
FIN,Finland,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,73.9,oecd
FIN,Finland,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,92.7,oecd
FIN,Finland,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,71.5,oecd
FIN,Finland,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,60.6,oecd
FIN,Finland,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,48.6,oecd
FIN,Finland,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,27.1,oecd
FIN,Finland,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,80.3,oecd
FIN,Finland,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,12.3,oecd
FIN,Finland,CWB35A,Reading performance at age 15 (PISA),2015,526.4,oecd
FIN,Finland,CWB35B,Mathematics performance at age 15 (PISA),2015,511.1,oecd
FIN,Finland,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,59.8,oecd
FIN,Finland,CWB44A,Adolescents (15-year-olds) reporting high life satisfaction (%),2015,44.4,oecd
FIN,Finland,CWB44B,Adolescents (15-year-olds) reporting low life satisfaction (%),2015,6.6,oecd
FIN,Finland,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,161.0,oecd
FIN,Finland,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,9.0,oecd
FRA,France,CWB1A,Children (0-17) living with two parents (%),2015,77.1,oecd
FRA,France,CWB1B,Children (0-17) living with a single parent (%),2015,22.3,oecd
FRA,France,CWB1C,Children (0-17) living in 'other' types of household (%),2015,0.5,oecd
FRA,France,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,60.4,oecd
FRA,France,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,12.2,oecd
FRA,France,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,26412.6,oecd
FRA,France,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,93.9,oecd
FRA,France,CWB8B,"Adolescents (15-year-olds) whose parents report spending time ""just talking to my child"" every day or almost every day (%)",2015,73.1,oecd
FRA,France,CWB9,Children (0-17) in overcrowded households (%),2015,11.5,oecd
FRA,France,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,23.5,oecd
FRA,France,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,8.8,oecd
FRA,France,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,37.0,oecd
FRA,France,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,100.0,oecd
FRA,France,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,93.1,oecd
FRA,France,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,79.1,oecd
FRA,France,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,85.2,oecd
FRA,France,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,47.2,oecd
FRA,France,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,32.0,oecd
FRA,France,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,40.9,oecd
FRA,France,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,23.2,oecd
FRA,France,CWB35A,Reading performance at age 15 (PISA),2015,499.3,oecd
FRA,France,CWB35B,Mathematics performance at age 15 (PISA),2015,492.9,oecd
FRA,France,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,52.8,oecd
FRA,France,CWB44A,Adolescents (15-year-olds) reporting high life satisfaction (%),2015,36.6,oecd
FRA,France,CWB44B,Adolescents (15-year-olds) reporting low life satisfaction (%),2015,7.4,oecd
FRA,France,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,42.0,oecd
FRA,France,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,28.0,oecd
DEU,Germany,CWB1A,Children (0-17) living with two parents (%),2015,82.8,oecd
DEU,Germany,CWB1B,Children (0-17) living with a single parent (%),2015,16.0,oecd
DEU,Germany,CWB1C,Children (0-17) living in 'other' types of household (%),2015,1.3,oecd
DEU,Germany,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,63.4,oecd
DEU,Germany,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,9.4,oecd
DEU,Germany,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,27467.5,oecd
DEU,Germany,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,96.4,oecd
DEU,Germany,CWB8B,"Adolescents (15-year-olds) whose parents report spending time ""just talking to my child"" every day or almost every day (%)",2015,93.1,oecd
DEU,Germany,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,30.0,oecd
DEU,Germany,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,3.1,oecd
DEU,Germany,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,54.5,oecd
DEU,Germany,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,96.0,oecd
DEU,Germany,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,90.6,oecd
DEU,Germany,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,79.6,oecd
DEU,Germany,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,76.5,oecd
DEU,Germany,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,41.6,oecd
DEU,Germany,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,17.8,oecd
DEU,Germany,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,74.9,oecd
DEU,Germany,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,14.5,oecd
DEU,Germany,CWB35A,Reading performance at age 15 (PISA),2015,509.1,oecd
DEU,Germany,CWB35B,Mathematics performance at age 15 (PISA),2015,506.0,oecd
DEU,Germany,CWB44A,Adolescents (15-year-olds) reporting high life satisfaction (%),2015,34.0,oecd
DEU,Germany,CWB44B,Adolescents (15-year-olds) reporting low life satisfaction (%),2015,11.1,oecd
DEU,Germany,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,58.0,oecd
DEU,Germany,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,8.7,oecd
GRC,Greece,CWB1A,Children (0-17) living with two parents (%),2015,91.6,oecd
GRC,Greece,CWB1B,Children (0-17) living with a single parent (%),2015,8.1,oecd
GRC,Greece,CWB1C,Children (0-17) living in 'other' types of household (%),2015,0.3,oecd
GRC,Greece,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,43.9,oecd
GRC,Greece,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,11.0,oecd
GRC,Greece,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,13165.5,oecd
GRC,Greece,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,96.2,oecd
GRC,Greece,CWB9,Children (0-17) in overcrowded households (%),2015,34.1,oecd
GRC,Greece,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,24.4,oecd
GRC,Greece,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,7.9,oecd
GRC,Greece,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,50.8,oecd
GRC,Greece,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,63.0,oecd
GRC,Greece,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,90.0,oecd
GRC,Greece,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,83.7,oecd
GRC,Greece,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,72.9,oecd
GRC,Greece,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,59.0,oecd
GRC,Greece,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,66.3,oecd
GRC,Greece,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,83.0,oecd
GRC,Greece,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,15.6,oecd
GRC,Greece,CWB35A,Reading performance at age 15 (PISA),2015,467.0,oecd
GRC,Greece,CWB35B,Mathematics performance at age 15 (PISA),2015,453.6,oecd
GRC,Greece,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,52.6,oecd
GRC,Greece,CWB44A,Adolescents (15-year-olds) reporting high life satisfaction (%),2015,26.2,oecd
GRC,Greece,CWB44B,Adolescents (15-year-olds) reporting low life satisfaction (%),2015,14.7,oecd
GRC,Greece,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,43.0,oecd
GRC,Greece,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,0.4,oecd
HUN,Hungary,CWB1A,Children (0-17) living with two parents (%),2015,76.3,oecd
HUN,Hungary,CWB1B,Children (0-17) living with a single parent (%),2015,22.5,oecd
HUN,Hungary,CWB1C,Children (0-17) living in 'other' types of household (%),2015,1.1,oecd
HUN,Hungary,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,46.1,oecd
HUN,Hungary,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,9.3,oecd
HUN,Hungary,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,11706.1,oecd
HUN,Hungary,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,96.0,oecd
HUN,Hungary,CWB9,Children (0-17) in overcrowded households (%),2015,62.6,oecd
HUN,Hungary,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,34.1,oecd
HUN,Hungary,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,4.7,oecd
HUN,Hungary,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,58.2,oecd
HUN,Hungary,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,90.8,oecd
HUN,Hungary,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,92.4,oecd
HUN,Hungary,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,83.7,oecd
HUN,Hungary,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,76.3,oecd
HUN,Hungary,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,54.5,oecd
HUN,Hungary,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,35.5,oecd
HUN,Hungary,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,74.5,oecd
HUN,Hungary,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,17.9,oecd
HUN,Hungary,CWB35A,Reading performance at age 15 (PISA),2015,469.5,oecd
HUN,Hungary,CWB35B,Mathematics performance at age 15 (PISA),2015,476.8,oecd
HUN,Hungary,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,63.4,oecd
HUN,Hungary,CWB44A,Adolescents (15-year-olds) reporting high life satisfaction (%),2015,31.7,oecd
HUN,Hungary,CWB44B,Adolescents (15-year-olds) reporting low life satisfaction (%),2015,13.1,oecd
HUN,Hungary,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,160.0,oecd
HUN,Hungary,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,1.0,oecd
ISL,Iceland,CWB1A,Children (0-17) living with two parents (%),2015,80.5,oecd
ISL,Iceland,CWB1B,Children (0-17) living with a single parent (%),2015,18.6,oecd
ISL,Iceland,CWB1C,Children (0-17) living in 'other' types of household (%),2015,0.9,oecd
ISL,Iceland,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,30468.5,oecd
ISL,Iceland,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,98.5,oecd
ISL,Iceland,CWB9,Children (0-17) in overcrowded households (%),2015,11.7,oecd
ISL,Iceland,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,21.4,oecd
ISL,Iceland,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,5.0,oecd
ISL,Iceland,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,70.2,oecd
ISL,Iceland,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,97.2,oecd
ISL,Iceland,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,92.4,oecd
ISL,Iceland,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,70.4,oecd
ISL,Iceland,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,96.2,oecd
ISL,Iceland,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,51.1,oecd
