id,enroll_hmsc,school_type,hmsc_grade_year,hmsc_who_teaches,hmsc_tutor,hmsc_coop,days_hmsc,hrs_hmsc,teach_style,Library,Homeschool Catalog,Educational Publisher,Homeschooling Organization,Church,Public School,Private School,Bookstore,Websites,Other Source,Virtual School/Curriculum,hmsc_course,internet_hmsc,Local Public School,State,Charter School,Another Public School,Private School,College,Someplace Else,hw_help,time_mgmt,meal_together,child_health,year_born,age,country_born,sex,ttl_income,race,region,parent_educ,family_type
20161004061,Homeschooled,Homeschooled,10th,1,2,2,7,18,Always use informal learning,2,2,2,2,1,1,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,4,2000,15,1,Female,4,Hispanic,West,1,"Two parents, no sibling"
20161004400,Homeschooled,Homeschooled,11th,1,2,1,3,18,Strictly use formal curriculum,1,2,2,1,2,1,2,1,1,2,2,No Course,1,2,2,2,2,1,2,2,,1,4,2,1998,17,1,Female,7,White,South,2,Two parents and sibling(s)
20161004725,Homeschooled,Homeschooled,11th,3,2,2,5,30,Mostly use informal learning,1,1,2,1,2,1,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,2,1999,16,1,Male,1,White,Midwest,2,Other
20161005510,Homeschooled,Homeschooled,5th,2,2,2,5,25,Always use informal learning,1,1,1,2,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,7,1,2005,10,1,Female,6,Black,South,4,Two parents and sibling(s)
20161005772,Homeschooled,Homeschooled,12th,6,1,2,1,1,Mostly use informal learning,2,2,2,2,2,2,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,5,5,1997,18,1,Female,9,Hispanic,South,4,Two parents and sibling(s)
20161006373,Homeschooled,Homeschooled,12th,2,2,2,5,30,Mostly use formal curriculum,1,1,2,2,2,2,2,1,1,2,2,Online,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,1998,17,1,Female,9,White,South,4,One parent and sibling(s)
20161006406,Homeschooled,Homeschooled,9th,1,2,2,5,20,Mostly use formal curriculum,2,1,2,2,1,2,1,2,1,2,2,No Course,1,2,2,2,2,1,2,2,,1,5,1,2001,14,1,Male,5,White,South,2,Two parents and sibling(s)
20161006411,Homeschooled,Homeschooled,3rd,1,1,1,5,25,Strictly use formal curriculum,1,1,1,1,1,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2006,9,1,Female,9,White,West,5,Two parents and sibling(s)
20161006902,Homeschooled,Homeschooled,1st,1,1,1,5,12,Mostly use formal curriculum,1,1,1,1,1,2,2,1,1,1,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,5,2,2008,7,1,Male,7,White,Midwest,5,Two parents and sibling(s)
20161007232,Homeschooled,Homeschooled,6th,3,2,2,5,30,Strictly use formal curriculum,2,1,1,1,1,1,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,4,1,2003,12,1,Female,3,Hispanic,South,3,One parent and sibling(s)
20161007645,Homeschooled,Homeschooled,9th,1,2,1,5,30,Mostly use formal curriculum,1,1,1,1,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,4,3,2001,14,1,Female,10,White,South,4,Two parents and sibling(s)
20161008066,Homeschooled,Homeschooled,12th,1,1,1,6,30,Mostly use formal curriculum,1,1,2,1,1,1,2,1,1,2,2,No Course,1,2,2,2,2,2,2,1,,0,6,3,1998,17,1,Female,8,White,West,4,"Two parents, no sibling"
20161008290,Homeschooled,Homeschooled,3rd,2,2,2,7,14,Strictly use formal curriculum,2,2,2,2,1,2,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,3,2006,9,1,Male,2,Hispanic,South,3,"Two parents, no sibling"
20161009136,Homeschooled,Homeschooled,5th,1,2,2,5,25,Mostly use informal learning,2,2,2,2,2,2,2,1,2,1,2,Online & In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2004,11,1,Male,2,Hispanic,South,1,Two parents and sibling(s)
20161009399,Homeschooled,Homeschooled,1st,1,2,1,5,15,Strictly use formal curriculum,1,1,1,1,2,2,2,1,2,2,2,In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,4,1,2009,6,1,Male,7,White,South,5,Two parents and sibling(s)
20161010146,Homeschooled,Homeschooled,10th,1,1,2,6,22,Mostly use informal learning,1,1,2,2,2,2,2,1,1,1,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,3,3,1999,16,1,Male,6,White,South,4,One parent and sibling(s)
20161010296,Homeschooled,Homeschooled,8th,1,1,2,5,35,Mostly use formal curriculum,1,1,1,2,2,2,2,1,1,2,2,No Course,1,2,2,1,2,2,2,2,,1,6,2,2003,12,1,Male,7,Hispanic,West,5,Two parents and sibling(s)
20161010503,Homeschooled,Homeschooled,4th,2,2,2,5,35,Mostly use formal curriculum,2,2,2,2,2,1,2,2,2,2,2,No Course,1,1,2,2,2,2,2,2,,0,3,2,2006,9,3,Female,1,White,South,4,Two parents and sibling(s)
20161010596,Homeschooled,Homeschooled,1st,1,2,2,5,50,Always use informal learning,1,2,2,2,2,2,2,2,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2008,7,1,Male,8,White,West,4,"Two parents, no sibling"
20161011060,Homeschooled,Homeschooled,2nd,1,2,2,5,20,Mostly use formal curriculum,1,1,1,2,1,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,7,2,2007,8,1,Male,8,White,South,5,Two parents and sibling(s)
20161011342,Homeschooled,Homeschooled,9th,2,2,2,5,35,Mostly use formal curriculum,2,2,1,2,2,2,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,4,2,2000,15,1,Male,4,Hispanic,South,1,Two parents and sibling(s)
20161011725,Homeschooled,Homeschooled,Kindergarten,1,2,1,5,30,Mostly use formal curriculum,1,1,2,1,2,2,2,1,1,2,2,Online,2,-1,-1,-1,-1,-1,-1,-1,,1,7,4,2010,5,1,Male,9,White,West,4,"Two parents, no sibling"
20161011843,Homeschooled,Homeschooled,11th,6,1,1,7,25,Strictly use formal curriculum,1,1,1,1,1,1,1,1,1,2,2,No Course,1,1,2,2,2,2,2,2,,1,3,1,1999,16,1,Female,10,Other/Mixed,South,5,Two parents and sibling(s)
20161012454,Homeschooled,Homeschooled,5th,1,2,2,5,25,Mostly use informal learning,1,1,1,1,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,2,1,2005,10,1,Male,9,White,South,5,Two parents and sibling(s)
20161013852,Homeschooled,Homeschooled,8th,1,1,2,5,24,Mostly use formal curriculum,2,2,1,1,1,1,1,2,2,2,2,No Course,1,2,2,2,1,2,2,2,,1,4,1,2002,13,1,Male,8,White,Midwest,3,Two parents and sibling(s)
20161014001,Homeschooled,Homeschooled,12th,1,2,2,5,5,Mostly use formal curriculum,1,1,2,2,2,2,2,2,2,2,2,No Course,1,1,2,2,2,2,1,2,,1,4,3,1997,18,1,Female,8,White,South,3,"Two parents, no sibling"
20161014463,Homeschooled,Homeschooled,12th,1,2,2,5,25,Strictly use formal curriculum,1,1,2,2,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,4,1,1998,17,1,Female,1,White,Northeast,3,One parent and sibling(s)
20161014469,Homeschooled,Homeschooled,2nd,1,2,2,4,16,Mostly use formal curriculum,1,1,2,2,1,1,2,1,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2007,8,1,Male,7,White,Northeast,3,Two parents and sibling(s)
20161014570,Homeschooled,Homeschooled,10th,2,1,1,5,30,Mostly use informal learning,1,1,2,1,2,2,2,1,1,2,2,No Course,1,2,2,2,2,2,2,1,,1,4,2,2000,15,1,Male,3,White,West,2,"One parent, no sibling"
20161015281,Homeschooled,Homeschooled,9th,1,2,1,5,30,Mostly use formal curriculum,1,1,1,1,2,2,2,1,1,2,2,Online,2,-1,-1,-1,-1,-1,-1,-1,,1,3,2,2002,13,1,Female,4,White,South,3,Two parents and sibling(s)
20161015872,Homeschooled,Homeschooled,2nd,1,2,1,5,20,Mostly use formal curriculum,1,1,2,2,1,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,6,1,2008,7,1,Male,5,White,South,5,Two parents and sibling(s)
20161015979,Homeschooled,Homeschooled,11th,1,2,2,5,40,Strictly use formal curriculum,2,2,2,2,2,1,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,5,2,1999,16,1,Female,6,Hispanic,Midwest,3,Two parents and sibling(s)
20161015982,Homeschooled,Homeschooled,11th,1,2,1,5,25,Strictly use formal curriculum,1,1,2,1,1,2,2,1,1,2,2,Online & In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,7,2,1999,16,1,Female,8,Other/Mixed,South,5,Two parents and sibling(s)
20161016275,Homeschooled,Homeschooled,12th,1,1,1,4,6,Mostly use informal learning,1,1,1,1,2,2,2,1,2,2,1,No Course,1,1,2,2,2,2,2,2,,1,1,4,1997,18,1,Male,1,Hispanic,West,4,"Two parents, no sibling"
20161016592,Homeschooled,Homeschooled,12th,5,1,2,5,25,Mostly use formal curriculum,1,1,2,2,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,4,1,1996,19,1,Female,1,Black,South,3,One parent and sibling(s)
20161016768,Homeschooled,Homeschooled,9th,1,1,2,5,40,Mostly use informal learning,1,2,2,1,1,2,2,1,1,2,2,No Course,1,2,2,2,2,2,2,1,,0,4,1,2001,14,1,Male,1,Hispanic,West,4,One parent and sibling(s)
20161017504,Homeschooled,Homeschooled,12th,5,2,2,5,30,Always use informal learning,1,2,1,1,1,1,1,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,0,4,1998,17,3,Male,2,Asian,West,1,"One parent, no sibling"
20161017830,Homeschooled,Homeschooled,11th,1,2,2,4,16,Mostly use informal learning,2,1,1,1,1,1,2,1,1,2,2,Online,2,-1,-1,-1,-1,-1,-1,-1,,0,4,2,1999,16,1,Male,3,Hispanic,South,5,One parent and sibling(s)
20161018263,Homeschooled,Homeschooled,9th,1,2,1,5,35,Mostly use formal curriculum,1,1,1,1,2,2,2,1,1,2,2,No Course,1,2,2,2,2,2,2,1,,1,6,1,2001,14,1,Female,7,White,South,4,Two parents and sibling(s)
20161018318,Homeschooled,Homeschooled,5th,2,2,2,5,5,Mostly use informal learning,2,2,2,2,2,1,2,1,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,2,2005,10,1,Male,6,Hispanic,Northeast,1,Two parents and sibling(s)
20161018911,Homeschooled,Homeschooled,Kindergarten,1,2,2,5,8,Mostly use informal learning,2,1,2,1,1,1,2,2,2,2,2,In-Person,1,1,2,2,1,2,1,2,,0,4,2,2011,4,3,Male,2,Hispanic,West,1,One parent and sibling(s)
20161019226,Homeschooled,Homeschooled,10th,1,2,2,5,30,Mostly use formal curriculum,2,2,2,2,2,2,2,1,1,2,1,No Course,1,2,2,2,1,2,2,1,,1,2,2,2000,15,1,Male,8,White,Midwest,4,Two parents and sibling(s)
20161020948,Homeschooled,Homeschooled,5th,3,1,2,5,30,Mostly use formal curriculum,1,1,1,1,1,1,1,1,1,2,2,No Course,1,1,2,2,2,2,2,2,,1,7,2,2005,10,1,Male,7,White,Midwest,3,Other
20161021561,Homeschooled,Homeschooled,5th,2,1,2,3,9,Mostly use formal curriculum,1,1,1,1,1,1,2,1,1,1,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,3,2005,10,1,Female,2,Hispanic,Northeast,2,One parent and sibling(s)
20161021670,Homeschooled,Homeschooled,5th,1,2,2,5,25,Mostly use informal learning,1,1,1,2,2,2,2,1,1,2,2,Online & In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2005,10,1,Female,8,White,South,5,Two parents and sibling(s)
20161022284,Homeschooled,Homeschooled,6th,1,2,2,7,35,Strictly use formal curriculum,2,2,2,2,1,2,2,1,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,1,1,2003,12,1,Male,5,Hispanic,South,2,Two parents and sibling(s)
20161022559,Homeschooled,Homeschooled,3rd,6,1,1,5,30,Mostly use formal curriculum,2,1,1,2,2,2,2,1,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,0,1,2007,8,2,Female,5,Hispanic,Northeast,4,One parent and sibling(s)
20161022802,Homeschooled,Homeschooled,10th,1,2,1,5,35,Strictly use formal curriculum,2,1,1,1,1,2,2,1,1,2,2,Online & In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,2,1,1999,16,1,Male,10,White,South,5,Two parents and sibling(s)
20161024569,Homeschooled,Homeschooled,10th,3,2,2,5,18,Strictly use formal curriculum,2,2,2,2,2,2,2,2,1,2,2,No Course,1,2,2,2,2,2,1,2,,1,5,1,1999,16,1,Male,7,White,South,4,Two parents and sibling(s)
20161024604,Homeschooled,Homeschooled,2nd,1,2,2,3,3,Always use informal learning,2,2,2,2,2,2,2,2,2,1,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,5,1,2008,7,1,Female,5,Hispanic,West,3,One parent and sibling(s)
20161024716,Homeschooled,Homeschooled,11th,1,1,1,5,25,Strictly use formal curriculum,2,1,1,1,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,4,1,1999,16,1,Female,9,White,South,4,Two parents and sibling(s)
20161024891,Homeschooled,Homeschooled,2nd,2,2,2,5,15,Always use informal learning,1,1,2,2,2,1,2,1,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,4,2,2008,7,1,Female,6,Hispanic,South,3,Two parents and sibling(s)
20161025584,Homeschooled,Homeschooled,9th,1,1,2,5,35,Strictly use formal curriculum,1,2,1,1,2,1,2,2,1,2,2,Online,1,1,1,2,2,2,2,2,,1,6,1,2001,14,1,Male,3,Hispanic,South,4,Two parents and sibling(s)
20161026225,Homeschooled,Homeschooled,10th,3,2,2,5,30,Strictly use formal curriculum,1,2,2,2,2,2,1,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,0,2,1997,18,1,Male,3,White,South,3,"One parent, no sibling"
20161026244,Homeschooled,Homeschooled,5th,1,2,1,5,25,Mostly use formal curriculum,1,1,1,1,1,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2005,10,3,Male,5,White,South,4,Two parents and sibling(s)
20161026561,Homeschooled,Homeschooled,4th,1,2,1,5,20,Mostly use formal curriculum,2,1,2,1,1,2,2,1,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,6,1,2006,9,1,Male,9,White,South,5,Two parents and sibling(s)
20161026756,Homeschooled,Homeschooled,6th,1,1,1,5,20,Mostly use formal curriculum,1,1,2,1,2,2,1,2,1,2,2,Online & In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2003,12,1,Male,5,White,South,3,"Two parents, no sibling"
20161027102,Homeschooled,Homeschooled,2nd,1,1,2,5,20,Mostly use formal curriculum,1,1,1,1,1,2,2,1,1,1,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,7,1,2008,7,1,Male,6,White,West,4,Two parents and sibling(s)
20161027440,Homeschooled,Homeschooled,5th,1,2,2,5,20,Mostly use informal learning,1,2,1,2,1,2,2,1,1,2,2,Online,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2004,11,1,Male,9,White,West,5,Two parents and sibling(s)
20161027608,Homeschooled,Homeschooled,10th,2,1,1,5,20,Strictly use formal curriculum,1,1,2,1,2,2,2,2,2,2,2,In-Person,1,2,1,2,2,2,2,2,,1,0,1,1999,16,1,Male,9,Hispanic,South,4,Two parents and sibling(s)
20161027724,Homeschooled,Homeschooled,11th,7,2,1,5,30,Strictly use formal curriculum,1,1,2,1,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,1999,16,3,Male,8,White,South,3,Two parents and sibling(s)
20161028567,Homeschooled,Homeschooled,9th,1,2,2,5,20,Mostly use formal curriculum,2,2,2,2,2,1,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2002,13,1,Female,4,White,West,3,Two parents and sibling(s)
20161028758,Homeschooled,Homeschooled,7th,1,1,2,5,35,Strictly use formal curriculum,1,1,2,2,2,2,2,2,1,2,2,No Course,1,2,2,2,2,1,2,2,,1,7,1,2003,12,1,Female,7,White,South,3,Two parents and sibling(s)
20161028817,Homeschooled,Homeschooled,8th,1,2,2,5,30,Strictly use formal curriculum,2,2,2,2,2,2,1,2,2,2,2,No Course,1,2,2,2,2,1,2,2,,1,7,1,2002,13,1,Female,10,Other/Mixed,Northeast,5,Two parents and sibling(s)
20161029264,Homeschooled,Homeschooled,10th,6,1,2,3,8,Mostly use formal curriculum,2,1,2,2,2,1,2,2,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,7,4,2000,15,1,Male,5,White,Northeast,3,Two parents and sibling(s)
20161029906,Homeschooled,Homeschooled,6th,1,2,2,5,10,Strictly use formal curriculum,1,2,1,2,1,1,2,1,1,2,2,Online & In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,6,1,2003,12,1,Female,1,Hispanic,South,1,One parent and sibling(s)
20161029991,Homeschooled,Homeschooled,10th,1,2,2,7,15,Always use informal learning,2,2,2,2,2,2,2,2,2,2,2,No Course,1,2,2,2,2,2,2,1,,0,0,1,2000,15,1,Female,5,White,West,4,"One parent, no sibling"
20161030149,Homeschooled,Homeschooled,3rd,1,2,2,5,5,Strictly use formal curriculum,1,1,2,1,1,2,2,1,1,2,2,Online & In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2007,8,1,Male,3,White,South,2,Two parents and sibling(s)
20161031403,Homeschooled,Homeschooled,12th,1,2,1,5,20,Mostly use formal curriculum,2,1,1,2,2,2,2,1,1,2,2,In-Person,1,2,2,2,2,2,2,1,,1,5,2,1998,17,1,Male,7,White,West,4,Two parents and sibling(s)
20161031609,Homeschooled,Homeschooled,10th,1,2,1,7,15,Strictly use formal curriculum,2,2,2,2,2,1,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,3,2000,15,1,Male,6,Hispanic,West,1,One parent and sibling(s)
20161032089,Homeschooled,Homeschooled,6th,1,2,2,5,25,Mostly use formal curriculum,1,1,1,1,1,2,2,1,1,2,2,Online,2,-1,-1,-1,-1,-1,-1,-1,,0,7,1,2004,11,1,Female,4,Hispanic,South,5,Two parents and sibling(s)
20161032374,Homeschooled,Homeschooled,11th,1,2,1,5,30,Strictly use formal curriculum,1,1,1,2,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,1999,16,1,Male,8,White,South,5,Two parents and sibling(s)
20161032982,Homeschooled,Homeschooled,10th,1,1,1,5,6,Mostly use informal learning,1,2,2,2,2,2,2,1,1,2,2,Online & In-Person,1,2,2,2,2,2,2,1,,1,6,1,2000,15,1,Male,5,White,West,4,One parent and sibling(s)
20161033199,Homeschooled,Homeschooled,2nd,1,2,2,5,30,Always use informal learning,1,2,2,2,2,1,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2008,7,1,Female,5,Hispanic,West,3,Two parents and sibling(s)
20161033404,Homeschooled,Homeschooled,Kindergarten,1,2,2,4,6,Mostly use formal curriculum,1,1,1,1,2,2,2,1,1,2,2,No Course,1,2,2,2,2,2,2,1,,0,5,3,2009,6,1,Female,4,Hispanic,Midwest,1,Two parents and sibling(s)
20161033594,Homeschooled,Homeschooled,3rd,1,2,1,5,25,Mostly use formal curriculum,2,1,1,1,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,2,2007,8,1,Male,7,White,South,4,Two parents and sibling(s)
20161033624,Homeschooled,Homeschooled,10th,2,1,1,3,6,Mostly use formal curriculum,2,1,2,2,2,1,1,2,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,4,5,1999,16,1,Male,2,Hispanic,West,3,Two parents and sibling(s)
20161034185,Homeschooled,Homeschooled,12th,6,2,2,7,30,Mostly use informal learning,1,2,2,1,2,1,2,1,1,2,2,Online,2,-1,-1,-1,-1,-1,-1,-1,,1,4,3,1998,17,1,Female,5,Hispanic,West,3,One parent and sibling(s)
20161034491,Homeschooled,Homeschooled,Kindergarten,2,2,2,7,12,Strictly use formal curriculum,1,1,1,1,1,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2009,6,1,Male,10,Hispanic,South,4,Two parents and sibling(s)
20161034531,Homeschooled,Homeschooled,5th,1,2,2,5,30,Strictly use formal curriculum,1,1,2,1,2,2,1,2,2,2,2,No Course,1,2,2,2,2,1,2,2,,1,5,1,2004,11,1,Female,7,White,South,4,Two parents and sibling(s)
20161035533,Homeschooled,Homeschooled,1st,1,2,1,5,15,Mostly use formal curriculum,2,1,2,1,1,2,2,1,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,7,1,2010,5,1,Male,5,White,South,4,Two parents and sibling(s)
20161035790,Homeschooled,Homeschooled,4th,1,2,1,7,20,Mostly use formal curriculum,1,1,1,1,1,2,2,1,1,1,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,6,1,2007,8,1,Male,7,White,Midwest,4,Two parents and sibling(s)
20161036341,Homeschooled,Homeschooled,9th,1,2,2,5,35,Mostly use formal curriculum,1,1,2,1,1,2,2,1,1,2,2,Online,1,2,2,2,2,2,1,2,,1,7,1,2001,14,1,Female,5,White,South,4,Two parents and sibling(s)
20161036434,Homeschooled,Homeschooled,10th,1,2,2,4,24,Mostly use informal learning,1,1,2,1,1,1,2,1,1,2,2,No Course,1,1,2,2,2,2,2,2,,1,4,2,1999,16,1,Male,8,White,Northeast,4,"One parent, no sibling"
20161036741,Homeschooled,Homeschooled,7th,1,1,1,5,42,Mostly use formal curriculum,1,1,1,1,1,1,1,1,1,2,2,Online & In-Person,1,2,2,2,2,2,2,1,,1,7,1,2003,12,1,Female,7,Other/Mixed,Midwest,5,"Two parents, no sibling"
20161036767,Homeschooled,Homeschooled,12th,1,2,2,3,12,Strictly use formal curriculum,1,2,2,2,2,2,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,2,3,1996,19,1,Male,8,White,Midwest,3,Two parents and sibling(s)
20161037302,Homeschooled,Homeschooled,10th,1,2,2,7,15,Strictly use formal curriculum,2,2,2,2,2,1,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,2,1,1999,16,3,Male,1,Hispanic,Northeast,2,"One parent, no sibling"
20161037914,Homeschooled,Homeschooled,4th,1,2,2,5,4,Mostly use formal curriculum,1,1,2,2,2,1,2,2,2,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,5,1,2006,9,1,Male,8,White,West,4,Two parents and sibling(s)
20161038235,Homeschooled,Homeschooled,10th,1,1,2,5,7,Strictly use formal curriculum,2,1,1,2,1,2,2,1,1,2,2,Online,2,-1,-1,-1,-1,-1,-1,-1,,1,7,3,1999,16,1,Male,10,Hispanic,West,5,"Two parents, no sibling"
20161038463,Homeschooled,Homeschooled,9th,1,1,1,5,35,Mostly use formal curriculum,1,1,1,2,2,1,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,6,1,2001,14,1,Male,7,White,South,2,Two parents and sibling(s)
20161038953,Homeschooled,Homeschooled,8th,1,2,1,5,20,Mostly use informal learning,1,1,2,1,2,2,2,2,1,2,2,No Course,1,1,2,1,2,2,2,2,,1,5,4,2001,14,1,Female,1,White,West,3,One parent and sibling(s)
20161039420,Homeschooled,Homeschooled,9th,1,2,2,5,25,Strictly use formal curriculum,2,2,2,2,2,2,2,2,2,2,1,No Course,1,2,2,1,2,2,2,2,,1,0,3,2000,15,1,Male,1,White,South,3,One parent and sibling(s)
20161040024,Homeschooled,Homeschooled,12th,1,2,2,5,25,Mostly use informal learning,1,1,2,2,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,3,1,1997,18,1,Female,8,White,Midwest,5,Two parents and sibling(s)
20161040211,Homeschooled,Homeschooled,10th,7,2,2,5,28,Strictly use formal curriculum,2,2,2,1,2,2,1,1,1,2,2,No Course,1,2,2,2,2,1,2,2,,0,7,2,1999,16,1,Male,7,White,South,4,"Two parents, no sibling"
